sr. no.,userid,924020839,group,group id,status
92,spardave,7015686989,3172503785728719210,DAFFY BAND🅾️z,1257861563
93,Doppelganger1k,6795988081,-536125134393910617,DAFFY BAND🅾️z,1257861563
94,errorwi,6204918229,1708841328997519420,DAFFY BAND🅾️z,1257861563
95,Chizzyxxxz,1008576064,5927364167757932496,DAFFY BAND🅾️z,1257861563
96,mich_dan,6647319723,9092100973150899059,DAFFY BAND🅾️z,1257861563
97,whisimicalwanderlust,8039392229,-8513639585136340676,DAFFY BAND🅾️z,1257861563
98,Gester15,7686200578,1595014980567771561,DAFFY BAND🅾️z,1257861563
99,frank_will_24,7480551983,-3010427166390632359,DAFFY BAND🅾️z,1257861563
100,zenmastermind4,8128683690,-8967493058160157791,DAFFY BAND🅾️z,1257861563
101,GPclubs,8064581322,-5688206535677088947,DAFFY BAND🅾️z,1257861563
102,meandme17,6134497887,3588141365492227871,DAFFY BAND🅾️z,1257861563
103,oneway1014,7861626611,-8200042464208058018,DAFFY BAND🅾️z,1257861563
104,valex_spyce,1767899985,-3411422641442831086,DAFFY BAND🅾️z,1257861563
105,Gettoff1,7101354551,-433256949808601516,DAFFY BAND🅾️z,1257861563
106,elmentopros,2105729086,8620081922254555028,DAFFY BAND🅾️z,1257861563
107,Juxxbandboy,7246340747,-794236541029589532,DAFFY BAND🅾️z,1257861563
108,ngebero,7569585162,-7319809186760236317,DAFFY BAND🅾️z,1257861563
109,FAR408,85606232,-6492562529629968255,DAFFY BAND🅾️z,1257861563
110,ninasimone_28,7195659898,-4408511965237757792,DAFFY BAND🅾️z,1257861563
111,lincode22,6555263507,-3508747893556472500,DAFFY BAND🅾️z,1257861563
112,grandy3xl,1739936873,-1443394728683230530,DAFFY BAND🅾️z,1257861563
113,Kingkobez,5395986995,-8658247890682028169,DAFFY BAND🅾️z,1257861563
114,manygroupsowner,7733116057,2680098234277185368,DAFFY BAND🅾️z,1257861563
115,CasandraPerkins,6874272155,5956129181316797619,DAFFY BAND🅾️z,1257861563
116,yrnlilmoney,7875761014,-8796096700479990983,DAFFY BAND🅾️z,1257861563
117,Bigzlogs,5169036130,6308170969493975941,DAFFY BAND🅾️z,1257861563
118,HeIIsIat,8148170699,6845993591972688670,DAFFY BAND🅾️z,1257861563
119,lubes1k,7257651575,-3784698887435054945,DAFFY BAND🅾️z,1257861563
120,Teehottie,7063809846,7151404390193467761,DAFFY BAND🅾️z,1257861563
121,BIGCAPO0,7769042026,2898492891514625544,DAFFY BAND🅾️z,1257861563
122,jamessatish,6455199961,5236077399267014587,DAFFY BAND🅾️z,1257861563
123,cyfer_buey,6993863274,5908034009012427984,DAFFY BAND🅾️z,1257861563
124,macusslips,7102589862,-6515499568153553096,DAFFY BAND🅾️z,1257861563
125,Seagrob,7318004618,-4947992153136321825,DAFFY BAND🅾️z,1257861563
126,jessymob,7575121944,-1363961119940558022,DAFFY BAND🅾️z,1257861563
127,OTFSIDE69,6878640382,5805932606525770407,DAFFY BAND🅾️z,1257861563
128,LEGITLIFE10k,6881656844,-99988171269894947,DAFFY BAND🅾️z,1257861563
129,ioncappinn,7852631218,-8012648134476423599,DAFFY BAND🅾️z,1257861563
130,ZONEE_SUPPORT,7394624542,2515293626580496985,DAFFY BAND🅾️z,1257861563
131,Claude432187,8088085260,799985720968917745,DAFFY BAND🅾️z,1257861563
132,TRUTH_33_33,6712049411,8851824471159983285,DAFFY BAND🅾️z,1257861563
133,Roul3529876,7558581153,9013363013400594186,DAFFY BAND🅾️z,1257861563
134,stimavin1,7532569823,2764251482908833097,DAFFY BAND🅾️z,1257861563
135,mobbyjackson,7395211642,-6588347799446753093,DAFFY BAND🅾️z,1257861563
136,moneystar1,8125511079,-4021410343885075348,DAFFY BAND🅾️z,1257861563
137,MoNEYCHASHer,5192567186,-8577740844988613387,DAFFY BAND🅾️z,1257861563
138,Big_motion_4455,7222927740,9051821221069083487,DAFFY BAND🅾️z,1257861563
139,Larrybb3355,6512297498,-7636355481037606378,DAFFY BAND🅾️z,1257861563
140,Dailytrapper,7909989921,7106292846111783990,DAFFY BAND🅾️z,1257861563
141,getrich_00,7148924085,2700837893122804545,DAFFY BAND🅾️z,1257861563
142,Nba_100,7012239359,3291643961286153484,DAFFY BAND🅾️z,1257861563
143,Gome009,8033043058,1238034808864217955,DAFFY BAND🅾️z,1257861563
144,escrowservices123,7726759421,-162592615739575751,DAFFY BAND🅾️z,1257861563
145,vidaloka257,6878653195,7612605682011728651,DAFFY BAND🅾️z,1257861563
146,biggggmoneyy,7786043990,8602489174109049727,DAFFY BAND🅾️z,1257861563
147,kazuxdd,5348008493,-1352640443356749338,DAFFY BAND🅾️z,1257861563
148,RickFIair,8017220524,4518730159659783588,DAFFY BAND🅾️z,1257861563
149,jackwood121,5805511301,5557857981973645101,DAFFY BAND🅾️z,1257861563
150,choper13465,6389091992,-8305807341196480214,DAFFY BAND🅾️z,1257861563
151,Mike_zer10,7329191641,-6872871002461269988,DAFFY BAND🅾️z,1257861563
152,threeshot74,7195906328,2839754972804003741,DAFFY BAND🅾️z,1257861563
153,pills055,7431028652,-8691789916641827767,DAFFY BAND🅾️z,1257861563
154,trigger23k,7166096610,1926913368708815417,DAFFY BAND🅾️z,1257861563
155,jreyog,7391782139,3248246008220069327,DAFFY BAND🅾️z,1257861563
156,dopeboyld,7273622536,-6747223414572769524,DAFFY BAND🅾️z,1257861563
157,youngjayx,6905142457,-5805139077293859504,DAFFY BAND🅾️z,1257861563
158,Comark001,7972454236,-1945036749494315777,DAFFY BAND🅾️z,1257861563
159,inspiration118,7768307993,-2000711086638423229,DAFFY BAND🅾️z,1257861563
160,albertloads,5129836079,5874180105024896120,DAFFY BAND🅾️z,1257861563
161,zamani6660,6537495264,-4902965823720704344,DAFFY BAND🅾️z,1257861563
162,claudia43256,7709342855,7400840400721770039,DAFFY BAND🅾️z,1257861563
163,Mr_doughlas_james1,2097739261,2920647051491163067,DAFFY BAND🅾️z,1257861563
164,cashhead01,7647971415,4857411905966060790,DAFFY BAND🅾️z,1257861563
165,kashdami036,7139824426,-1637771973074998334,DAFFY BAND🅾️z,1257861563
166,carding570,5913778962,-2853074440237403391,DAFFY BAND🅾️z,1257861563
167,stationmoves01,7894544878,3990985823347262475,DAFFY BAND🅾️z,1257861563
168,kobe40404,7940630610,-7386208319628221403,DAFFY BAND🅾️z,1257861563
169,bangeesw,6222825874,-4255286950758924142,DAFFY BAND🅾️z,1257861563
170,brianmayor225,6691846657,-6625319581790648400,DAFFY BAND🅾️z,1257861563
171,cashcow36,7437857060,5775968462788344845,DAFFY BAND🅾️z,1257861563
172,blobsterr,7706812566,4136373878848781052,DAFFY BAND🅾️z,1257861563
173,ben11101,7054647882,5186873916670144716,DAFFY BAND🅾️z,1257861563
174,flip_owner100,5688145533,5087511478577878356,DAFFY BAND🅾️z,1257861563
175,sunusipresident,6497009149,-6849675484947503050,DAFFY BAND🅾️z,1257861563
176,benja1123,6781241770,-5980287774240389381,DAFFY BAND🅾️z,1257861563
177,legitmaker12,7019008085,-7355723948094123220,DAFFY BAND🅾️z,1257861563
178,darwinaustin,7359735058,-1160170729763256590,DAFFY BAND🅾️z,1257861563
179,quanKing1,6707434875,418894088530155550,DAFFY BAND🅾️z,1257861563
180,petre740,7205258922,176925826459738979,DAFFY BAND🅾️z,1257861563
181,bigvi36,7443330120,-7281238684731610761,DAFFY BAND🅾️z,1257861563
182,frankxx00,5163263210,-2866250988337466156,DAFFY BAND🅾️z,1257861563
183,Robertmiller12,6509019678,1677434359296860102,DAFFY BAND🅾️z,1257861563
184,Luxy_221,6854273345,-5228428801883068196,DAFFY BAND🅾️z,1257861563
185,Paiddailly,5606565154,-7929396508396580181,DAFFY BAND🅾️z,1257861563
186,GLASS_MOVMENT,7517379012,-5973969881388384441,DAFFY BAND🅾️z,1257861563
187,Tloxpsearch00,6611703971,1163975103322496434,DAFFY BAND🅾️z,1257861563
188,BigDALLAR,7530137180,6011632663783728983,DAFFY BAND🅾️z,1257861563
189,millyrich_12,7521510568,3835817028592387255,DAFFY BAND🅾️z,1257861563
190,bestvendor9k,6539041709,5984140943582064482,DAFFY BAND🅾️z,1257861563
191,nyhorlah,6747969859,2453425304193912233,DAFFY BAND🅾️z,1257861563
192,C_J_00,6823257445,-1827995258414159685,DAFFY BAND🅾️z,1257861563
193,iamcraby,6547720090,-4759218140962053043,DAFFY BAND🅾️z,1257861563
194,BigTop2x,7508593626,-3643813324597718827,DAFFY BAND🅾️z,1257861563
195,allahdogs,7143626349,3307330789063276740,DAFFY BAND🅾️z,1257861563
196,janekelly2,6155796806,82621009423762584,DAFFY BAND🅾️z,1257861563
197,ankit35i,7525633440,348175956514317156,DAFFY BAND🅾️z,1257861563
198,theasybautista7,7090500191,2432858540602442458,DAFFY BAND🅾️z,1257861563
199,Airdropinfluencer20,6085980306,-533589772826219483,DAFFY BAND🅾️z,1257861563
200,Manger_airdrop10,6036783682,2340009826341336024,DAFFY BAND🅾️z,1257861563
201,Jefe36tb,6448768312,-1685200039511134047,DAFFY BAND🅾️z,1257861563
202,oneofone100x,6039772183,8656631798267721665,DAFFY BAND🅾️z,1257861563
203,losojopan,7509512421,1370382565988729333,DAFFY BAND🅾️z,1257861563
204,money_making33,6758366919,6240838402756967484,DAFFY BAND🅾️z,1257861563
205,richmax123,5439070209,5162577448814943998,DAFFY BAND🅾️z,1257861563
206,bearbot04,6573708270,-8965345953062748523,DAFFY BAND🅾️z,1257861563
207,Swipper124,5675573744,-4401181062522073908,DAFFY BAND🅾️z,1257861563
208,purrcatmeow,7000984356,-5319425847873292115,DAFFY BAND🅾️z,1257861563
209,The_Real_huster,6754252868,-6633462428557129145,DAFFY BAND🅾️z,1257861563
210,jackson13n,7271814391,6650046215270491104,DAFFY BAND🅾️z,1257861563
211,maximeYo12,6837778865,-5310945203233547505,DAFFY BAND🅾️z,1257861563
212,Realplug200,6164689908,5477153572010039670,DAFFY BAND🅾️z,1257861563
213,jacobzoo12,7322158172,1198084821095297031,DAFFY BAND🅾️z,1257861563
214,Topboy000012,6402338180,1001700130432102952,DAFFY BAND🅾️z,1257861563
215,franklyy12,6799323449,3496942724814837469,DAFFY BAND🅾️z,1257861563
216,T_trevo,5760875486,2632154269594202581,DAFFY BAND🅾️z,1257861563
217,popdaddy0,6889495619,-9068862882815233652,DAFFY BAND🅾️z,1257861563
218,Benson_JT,5634459801,-2616511369581288068,DAFFY BAND🅾️z,1257861563
219,willjay11,7463582244,8726967588250887472,DAFFY BAND🅾️z,1257861563
220,RealsurvivorMike,7276255696,7977460049757959018,DAFFY BAND🅾️z,1257861563
221,Paid_Paid1,6001705478,746570821181925309,DAFFY BAND🅾️z,1257861563
222,clyde_0222,7118061956,-3781497032169421499,DAFFY BAND🅾️z,1257861563
223,eggbone360,6673204796,-7325266917941698196,DAFFY BAND🅾️z,1257861563
224,fundz_s,6943107309,-3852105343327191170,DAFFY BAND🅾️z,1257861563
225,Bencruzzy,7277430554,8108693985658480930,DAFFY BAND🅾️z,1257861563
226,skepta_fp,6379093855,-8533051316754068873,DAFFY BAND🅾️z,1257861563
227,Kessie33,7059538633,-6652394859161659416,DAFFY BAND🅾️z,1257861563
228,Jack_Jack11,6812213956,-5568986035477451531,DAFFY BAND🅾️z,1257861563
229,Jay24jones1,6640613923,5897589044285676207,DAFFY BAND🅾️z,1257861563
230,johninstatr,7508227828,1597369087681266110,DAFFY BAND🅾️z,1257861563
231,Pricilla0725398,7259174953,5992073031578726761,DAFFY BAND🅾️z,1257861563
232,Luludeparm,7435283130,-1137703127053545325,DAFFY BAND🅾️z,1257861563
233,AdsRunByMhdxOwner,7253997859,-5380786054749064209,DAFFY BAND🅾️z,1257861563
234,Mmoney_4u,5928289283,4759636574705738537,DAFFY BAND🅾️z,1257861563
235,BELIEVEINKAR,7495959372,7565301441228546814,DAFFY BAND🅾️z,1257861563
236,growingchicken,6726597407,-4803086421167668140,DAFFY BAND🅾️z,1257861563
237,Derek615,7314033256,-3463597562183686624,DAFFY BAND🅾️z,1257861563
238,focus1256,5918662095,7541689849950397998,DAFFY BAND🅾️z,1257861563
239,sarahsonia24,5712588085,-2084918715986891998,DAFFY BAND🅾️z,1257861563
240,Clemmantine,7460583975,4488867432314715167,DAFFY BAND🅾️z,1257861563
241,Vybrpablo055,7395042717,-1087326282311197102,DAFFY BAND🅾️z,1257861563
242,GETPAID56,5601668425,-6538206520127455412,DAFFY BAND🅾️z,1257861563
243,Hannahhanssss,6989665202,4343267351147013748,DAFFY BAND🅾️z,1257861563
244,sanchezjill,7529702244,-3773679624434357211,DAFFY BAND🅾️z,1257861563
245,big_motive,7317185340,-913400552195045324,DAFFY BAND🅾️z,1257861563
246,NIZEGUY,7524600314,390592182906591320,DAFFY BAND🅾️z,1257861563
247,Bbrainzz09,6087271968,6518596235288708854,DAFFY BAND🅾️z,1257861563
248,Christa875236,7395011660,8433062585822455901,DAFFY BAND🅾️z,1257861563
249,mr_stackss,5635700595,3283625934461073021,DAFFY BAND🅾️z,1257861563
250,Dorren283,7016866128,-8748779659451734744,DAFFY BAND🅾️z,1257861563
251,I_d_Al_hassan,6847488280,-494590608933462899,DAFFY BAND🅾️z,1257861563
252,stimulusman,7434878212,-1503015799090135378,DAFFY BAND🅾️z,1257861563
253,boychoppa,7175434694,6051422503492588765,DAFFY BAND🅾️z,1257861563
254,AUSJOBSONLY666,5576125976,-8849973860011427837,DAFFY BAND🅾️z,1257861563
255,Mr_President5,7429343257,2695519087398549834,DAFFY BAND🅾️z,1257861563
256,CTOpens01,7208110480,4031904934278507736,DAFFY BAND🅾️z,1257861563
257,FanchatBradPitt,7047757789,7707532378025490720,DAFFY BAND🅾️z,1257861563
258,Mojolbby,7375002358,-3361964098627726339,DAFFY BAND🅾️z,1257861563
259,trustedbucks,7266051081,-3878662569765585993,DAFFY BAND🅾️z,1257861563
260,AveryParker9q3t7,6770916486,-3412302726141232132,DAFFY BAND🅾️z,1257861563
261,KseniyaTarasov6k8j1,7343267450,3367964581339108729,DAFFY BAND🅾️z,1257861563
262,NoahGreen4r7,6742294310,-1928010729370609903,DAFFY BAND🅾️z,1257861563
263,craick_slave93,6683197158,2707407717108084670,DAFFY BAND🅾️z,1257861563
264,topsellerhere,7309832897,-3274771096972528055,DAFFY BAND🅾️z,1257861563
265,smith_cracker,6991616598,1923367012820391845,DAFFY BAND🅾️z,1257861563
266,trickuzi,6565828257,3193245445370958447,DAFFY BAND🅾️z,1257861563
267,Locarios,7046536262,4956640309633279647,DAFFY BAND🅾️z,1257861563
268,smarts229,7023905427,-9065014425238349287,DAFFY BAND🅾️z,1257861563
269,Mrbledsoe,6457819101,-3566449104639321863,DAFFY BAND🅾️z,1257861563
270,zerodayflashh,6466821776,3037827178353819653,DAFFY BAND🅾️z,1257861563
271,murasondonyi,7222062839,9194457193343692693,DAFFY BAND🅾️z,1257861563
272,trapbands051,930455049,-3078573626786909831,DAFFY BAND🅾️z,1257861563
273,Elchapo0759,994275588,5536413383812060397,DAFFY BAND🅾️z,1257861563
274,Gakuba2,6626594847,-6225116887195462902,DAFFY BAND🅾️z,1257861563
275,bearbot02,6517920440,-6435564547796556548,DAFFY BAND🅾️z,1257861563
276,Dracksp,7309298268,3706505494564292317,DAFFY BAND🅾️z,1257861563
277,SackrunnaJjo,7195785855,5277596995734582255,DAFFY BAND🅾️z,1257861563
278,Ho_Word,6700653183,-1532019773704303801,DAFFY BAND🅾️z,1257861563
279,PAPlTOTwoFour,7105307882,66481098532876288,DAFFY BAND🅾️z,1257861563
280,Rackspaid5L,5508283507,-4778093932809417518,DAFFY BAND🅾️z,1257861563
281,Thevo00_1,5983910245,1761486613098025753,DAFFY BAND🅾️z,1257861563
282,gielaet,6150401618,-4928098293524746280,DAFFY BAND🅾️z,1257861563
283,Jwetttmaker001,6955431761,-2510939058219656209,DAFFY BAND🅾️z,1257861563
284,lilcuzz09,6481737706,-4284592626924034241,DAFFY BAND🅾️z,1257861563
285,Kally_joe355,6133903946,1713302498128489250,DAFFY BAND🅾️z,1257861563
286,CoinneedLordOo9,6131826743,-1605579189350071279,DAFFY BAND🅾️z,1257861563
287,FineseWrld666,7433850463,-742700583365804631,DAFFY BAND🅾️z,1257861563
288,adwoaDhespite,7031836076,-2241660047527332767,DAFFY BAND🅾️z,1257861563
289,Loyd360,7357468245,4475146799756428957,DAFFY BAND🅾️z,1257861563
290,trap_god1,6719897924,2335410794873715690,DAFFY BAND🅾️z,1257861563
291,stuartbot1,6342198896,-5888356670701048887,DAFFY BAND🅾️z,1257861563
292,yeanhunny,7313851481,1959270792078654020,DAFFY BAND🅾️z,1257861563
293,pk_rpf,7140746250,6911328499105380733,DAFFY BAND🅾️z,1257861563
294,keydt1,6045892491,-707437761595247034,DAFFY BAND🅾️z,1257861563
295,stuartbot2,2099390594,5138440582025461701,DAFFY BAND🅾️z,1257861563
296,Rose82823,7491450509,-4726938571162577711,DAFFY BAND🅾️z,1257861563
297,ckjcjjvi4,7382801085,-8027376096331071290,DAFFY BAND🅾️z,1257861563
298,hxkifc2,7226860257,9173620036959416507,DAFFY BAND🅾️z,1257861563
299,Deebaby009,7497290926,-827583460046326124,DAFFY BAND🅾️z,1257861563
300,Cctiner,6544869740,-6213749717118457359,DAFFY BAND🅾️z,1257861563
301,Trevor0_3,6547200106,-8959597559012755166,DAFFY BAND🅾️z,1257861563
302,TRAPPERproTIPS,7190995745,-8741185742925055382,DAFFY BAND🅾️z,1257861563
303,Santanaf69,6613846538,-7214021640452901201,DAFFY BAND🅾️z,1257861563
304,s_plutogetright,6543661382,-2986800963838313755,DAFFY BAND🅾️z,1257861563
305,diamond_star54PRETON,1161030431,1231646236440780448,DAFFY BAND🅾️z,1257861563
306,chopper777,5052369935,1513668084693951723,DAFFY BAND🅾️z,1257861563
307,keyTwicee,6269049160,-5409155476320111347,DAFFY BAND🅾️z,1257861563
308,Bigman_star1,7468639287,-2545602481278340953,DAFFY BAND🅾️z,1257861563
309,Simon_Peter20,6315039648,-8537000291652490749,DAFFY BAND🅾️z,1257861563
310,Dweetfundz,6463198243,1276324803226280898,DAFFY BAND🅾️z,1257861563
311,aronn32,2116901332,4756442750219552708,DAFFY BAND🅾️z,1257861563
312,Wellib,7320287734,-5745431513184389635,DAFFY BAND🅾️z,1257861563
313,TomHollandier,7004278469,-9061869784167714706,DAFFY BAND🅾️z,1257861563
314,Jessica97202750,6514220947,105925395606891850,DAFFY BAND🅾️z,1257861563
315,JullyAnthem,7401629465,7130029555948947476,DAFFY BAND🅾️z,1257861563
316,CHOPPERHEAD6,6630411797,-3402298557561670803,DAFFY BAND🅾️z,1257861563
317,Junior41414,7249881405,-7502491214511272304,DAFFY BAND🅾️z,1257861563
318,Caplin_Cluesto,7150012488,-6346337453438169483,DAFFY BAND🅾️z,1257861563
319,madvickk,6314863743,2755390354030339896,DAFFY BAND🅾️z,1257861563
320,forever_log,7293008872,2245680895762944316,DAFFY BAND🅾️z,1257861563
321,bobbaron,7116646445,235822078833941412,DAFFY BAND🅾️z,1257861563
322,punchmadeglxsss,7252661855,-7820922081056991738,DAFFY BAND🅾️z,1257861563
323,Truck45x,7162463801,-6144009904696831173,DAFFY BAND🅾️z,1257861563
324,TARlQSTPATl,7199844940,-7746543001636973357,DAFFY BAND🅾️z,1257861563
325,Thenetworlkteam,6813022421,-305638967578889943,DAFFY BAND🅾️z,1257861563
326,Legaa1,6775264911,6577887543628340894,DAFFY BAND🅾️z,1257861563
327,Kessbabyface,7452938823,-6479115464004830645,DAFFY BAND🅾️z,1257861563
328,cedrickbsv,7247251396,5796393107952532227,DAFFY BAND🅾️z,1257861563
329,JGEE5,6079650015,4227752264902317199,DAFFY BAND🅾️z,1257861563
330,Ezra_dorado,7272680165,8056247383814414827,DAFFY BAND🅾️z,1257861563
331,Honestycredif,7257186700,5329796494792778057,DAFFY BAND🅾️z,1257861563
332,LEJOPO,6905848421,9165082630714885232,DAFFY BAND🅾️z,1257861563
333,Mikaylahm,6617602335,7352235305915115861,DAFFY BAND🅾️z,1257861563
334,Pariss1245,6051819809,-6381290766054182544,DAFFY BAND🅾️z,1257861563
335,win_win1stimmy,6829468148,-3378562774033452266,DAFFY BAND🅾️z,1257861563
336,Gucc_Q,7353572842,7477566513253031994,DAFFY BAND🅾️z,1257861563
